program,flowlog_o,flowlog,souffle_c,flowlog_o_peak_mem,flowlog_peak_mem,souffle_c_peak_mem
ddisasm,27.56,25.11,108.11,16.13,16.13,6.6
ddisasm,29.31,24.58,127.38,16.13,19.13,6.6
ddisasm,26.92,26.2,119.4,17.13,16.13,6.61
ddisasm,24.65,x,x,16.13,256,4.33
ddisasm,27.22,x,x,16.13,256,4.39
ddisasm,26.33,26.02,109.21,16.13,19.13,6.61
ddisasm,25.49,25.87,111.23,16.13,15.13,6.61
ddisasm,25.49,27.04,117.24,18.13,15.13,6.58
ddisasm,24.8,26.79,108.22,16.13,16.13,6.6
ddisasm,26.69,26.33,121.32,15.13,16.13,7.22
ddisasm,27.71,x,221.84,16.13,3.13,6.58
ddisasm,26.72,x,125.48,16.13,3.13,6.62
ddisasm,28.51,25.54,116.44,16.13,16.13,6.59
ddisasm,27.17,25.63,103.15,21.13,15.13,6.64
ddisasm,24.24,x,242.79,16.13,256,6.6
ddisasm,25.44,25.09,111.24,16.13,16.13,6.61
ddisasm,28.89,x,198.6,18.13,256,6.61
ddisasm,49.25,25.51,114.24,102.13,18.13,6.61
ddisasm,25.46,25.11,116.33,16.13,25.13,6.71
ddisasm,25.92,27.19,112.13,16.13,16.13,6.6
ddisasm,25.11,26.68,110.22,16.13,16.13,6.58
ddisasm,25.49,x,140.82,15.13,3.13,6.6
ddisasm,26.35,x,128.34,16.13,3.13,6.62
ddisasm,29.23,x,x,17.13,256,4.33
ddisasm,25.89,23.33,104.23,16.13,16.13,6.61
ddisasm,29.27,x,x,15.13,256,4.21
ddisasm,30.15,25.51,113.28,16.13,16.13,6.6
ddisasm,27.62,26.5,110.3,17.13,16.13,6.61
ddisasm,27.19,26.75,106.18,18.13,16.13,6.57
ddisasm,26.35,x,x,18.13,256,3.72
ddisasm,26.8,x,x,16.13,256,4.02
doop,19.29,15.11,34.64,12.13,7.13,2.42
doop,20.64,20.37,65.61,10.13,10.13,2.44
doop,18.13,27.25,39.64,8.13,8.13,2.43
doop,18.31,14.83,171.42,9.13,9.13,6.1
doop,13.22,x,x,7.13,256,0.73
doop,14.02,x,x,10.13,172.13,0.98
doop,13.66,13.86,35.49,8.13,7.13,2.42
doop,13,x,78.53,7.13,54.13,2.42
doop,14.11,x,x,9.13,256,1.16
doop,14.29,11.89,43.61,7.13,7.13,2.42
doop,16.01,x,x,11.13,122.13,0.83
doop,14.5,x,x,10.13,213.13,1.36
doop,32.15,383.22,x,12.13,52.13,3.38
doop,20.44,145.33,x,10.13,52.13,0.74
doop,20.25,x,239.19,10.13,18.47,2.41
doop,20.48,33.48,72.13,9.13,18.13,2.43
doop,20.76,28.98,37.78,10.13,7.13,2.42
doop,23.85,30.12,101.38,12.13,28.13,2.42
doop,22.21,121.93,x,12.13,96.13,1.32
doop,35.27,35.56,109.41,14.13,24.13,2.42
doop,26.07,100.66,x,10.13,12.13,2.52
doop,21.77,411.78,108.13,10.13,30.13,2.42
doop,21.31,x,x,10.13,71.13,0.71
doop,37.87,18.72,60.43,11.13,10.13,2.45
doop,36.38,x,x,15.13,256,3.97
doop,15.85,42.63,x,10.13,43.13,2.38
doop,17.82,x,x,10.13,256,0.77
doop,17.48,x,x,10.13,256,0.71
doop,17.62,375.06,372.21,10.13,35.2,6.1
doop,15.31,14.45,35.48,7.13,7.13,2.42
doop,18.74,14.49,36.23,7.13,7.13,2.41
doop,14.35,x,342.48,7.13,256,2.41
doop,16.08,x,448.08,7.13,256,2.42
doop,16.64,15.49,35.84,7.13,7.13,2.42
doop,38.24,382.36,x,14.13,48.13,1.9
doop,33.48,x,x,17.13,96.13,4.13
doop,17.86,38.7,57.37,10.13,21.13,2.42
doop,26.72,14.72,111.4,10.13,7.13,6.11
doop,205.16,15.23,47.7,12.33,7.13,2.41
doop,15.39,14.59,34.82,7.13,7.13,2.41
doop,15.45,23.46,35.27,7.13,7.13,2.43
doop,16.73,14.7,65.48,7.13,7.13,2.41
doop,17.12,14.94,x,7.13,7.13,2.12
galen,14.03,14.71,41.84,9.13,10.13,4.62
galen,207.5,196.24,351.08,224.13,208.13,4.22
galen,90.16,203.24,88.13,200.13,232.13,4.24
galen,13.86,12.32,37.38,10.13,10.13,4.24
galen,17.15,15.21,41.54,8.13,9.13,4.58
galen,15.34,31.33,40.16,8.13,12.13,4.6
galen,15.42,30.54,19.19,8.13,12.13,1.92
galen,15.88,15.02,16.9,8.13,10.13,1.89
galen,15.44,15.06,33.17,9.13,10.13,4.22
galen,14.77,14.74,37.49,8.13,10.13,4.54
galen,14.97,16.33,22.64,9.13,10.13,1.97
galen,13.68,x,199.88,10.13,256,1.97
galen,13.68,12.79,37.03,9.13,8.13,4.35
galen,12.29,x,182.94,9.13,256,1.93
galen,13.21,11.41,37.73,9.13,8.13,4.36
galen,12.76,21.76,41.21,10.13,10.13,4.57
galen,13.91,13.82,41.96,9.13,10.13,4.57
galen,12.33,12.16,40.66,12.13,9.13,4.24